"id"	"熟性"	"种子来源"	"属名"	"保存编号"	"壳"	"根腐穗病级"	"引入时间"	"省"	"穗长"	"赤霉病指数"	"条锈反应型"	"赤霉病抗性"	"抽穗期"	"保存单位"	"千粒重"	"田间抗寒性"	"系谱"	"白粉反应型"	"开花期"	"秆锈普遍率"	"赖氨酸"	"赤霉病病指"	"粗蛋白"	"叶锈普遍率"	"株高"	"穗粒数"	"原编号"	"叶锈反应型"	"白粉严重度"	"条锈普遍率"	"黄矮病"	"品种名称"	"叶锈严重度"	"芒"	"赤霉病病穗"	"原产地"	"秆锈反应型"	"抗旱性"	"样品类型"	"学名"	"秆锈严重度"	"科名"	"人工抗寒性"	"收种地"	"统一编号"	"沉淀值"	"冬春性"	"库编号"	"粒"	"硬度"	"成熟期"	"条锈严重度"	"根腐叶病级"	"染色体组"
"194"	"--"	"农科院作物所"	"Elytrigia Desv.(偃麦草属)"	"R118"	"--"	"--"	"1984"	"国外"	"--"	"--"	"--"	"--"	"5/27"	"ICGR"	"--"	"--"	"--"	"--"	"6/11"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"意大利"	"--"	"--"	"野生"	"Elytrigia elongata (Host.) Nevski(长穗偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001931"	"--"	"--"	"--"	"--"	"--"	"7/25"	"--"	"--"	
"195"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z824"	"--"	"--"	"1988"	"国外"	"23.0"	"--"	"--"	"--"	"5/21"	"ICGR"	"--"	"--"	"--"	"--"	"6/6"	"--"	"--"	"--"	"--"	"--"	"66"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"法国"	"--"	"--"	"野生"	"Elytrigia elongata (Host.) Nevski(长穗偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001932"	"--"	"--"	"--"	"--"	"--"	"7/12"	"--"	"--"	
"196"	"--"	"法国"	"Elytrigia Desv.(偃麦草属)"	"Z1134"	"--"	"--"	"1989"	"国外"	"15.6"	"--"	"--"	"--"	"5/21"	"ICGR"	"--"	"--"	"--"	"--"	"5/28"	"--"	"--"	"--"	"--"	"--"	"56"	"--"	"BRG88-15"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"法国"	"--"	"--"	"野生"	"Elytrigia elongata (Host.) Nevski(长穗偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001933"	"--"	"--"	"--"	"--"	"--"	"7/12"	"--"	"--"	
"197"	"--"	"法国"	"Elytrigia Desv.(偃麦草属)"	"Z1136"	"--"	"--"	"1989"	"国外"	"21.0"	"--"	"--"	"--"	"5/23"	"ICGR"	"--"	"--"	"--"	"--"	"6/1"	"--"	"--"	"--"	"--"	"--"	"57"	"--"	"BRG88-28"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"法国"	"--"	"--"	"野生"	"Elytrigia elongata (Host.) Nevski(长穗偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001934"	"--"	"--"	"--"	"--"	"--"	"7/12"	"--"	"--"	
"198"	"--"	"叙利亚干旱中心"	"Elytrigia Desv.(偃麦草属)"	"Z1408"	"--"	"--"	"1991"	"国外"	"34.0"	"--"	"--"	"--"	"6/3"	"ICGR"	"--"	"--"	"--"	"--"	"6/25"	"--"	"--"	"--"	"--"	"--"	"130"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"加拿大"	"--"	"--"	"野生"	"Elytrigia elongata (Host.) Nevski(长穗偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001935"	"--"	"--"	"--"	"--"	"--"	"7/31"	"--"	"--"	
"199"	"--"	"法国"	"Elytrigia Desv.(偃麦草属)"	"Z1140"	"--"	"--"	"1989"	"国外"	"--"	"--"	"--"	"--"	"6/17"	"ICGR"	"--"	"--"	"--"	"--"	"6/28"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"NRG-54"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"法国"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001936"	"--"	"--"	"--"	"--"	"--"	"7/31"	"--"	"--"	
"200"	"--"	"法国"	"Elytrigia Desv.(偃麦草属)"	"Z1141"	"--"	"--"	"--"	"国外"	"30.0"	"--"	"--"	"--"	"6/1"	"ICGR"	"--"	"--"	"--"	"--"	"6/17"	"--"	"--"	"--"	"--"	"--"	"101"	"--"	"BRG-55"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"法国"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001937"	"--"	"--"	"--"	"--"	"--"	"7/21"	"--"	"--"	
"201"	"--"	"法国"	"Elytrigia Desv.(偃麦草属)"	"Z1142"	"--"	"--"	"--"	"国外"	"19.3"	"--"	"--"	"--"	"6/3"	"ICGR"	"--"	"--"	"--"	"--"	"6/17"	"--"	"--"	"--"	"--"	"--"	"97"	"--"	"BRG-57"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"法国"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001938"	"--"	"--"	"--"	"--"	"--"	"7/21"	"--"	"--"	
"202"	"--"	"法国"	"Elytrigia Desv.(偃麦草属)"	"Z1144"	"--"	"--"	"--"	"国外"	"33.0"	"--"	"--"	"--"	"6/1"	"ICGR"	"--"	"--"	"--"	"--"	"6/17"	"--"	"--"	"--"	"--"	"--"	"124"	"--"	"BRG-61"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"法国"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001939"	"--"	"--"	"--"	"--"	"--"	"7/12"	"--"	"--"	
"203"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z1146"	"--"	"--"	"--"	"国外"	"24.5"	"--"	"--"	"--"	"5/20"	"ICGR"	"--"	"--"	"--"	"--"	"6/10"	"--"	"--"	"--"	"--"	"--"	"116"	"--"	"885-779"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"美国"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001940"	"--"	"--"	"--"	"--"	"--"	"7/21"	"--"	"--"	
"204"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z1147"	"--"	"--"	"--"	"国外"	"39.0"	"--"	"--"	"--"	"5/27"	"ICGR"	"--"	"--"	"--"	"--"	"6/17"	"--"	"--"	"--"	"--"	"--"	"145"	"--"	"885-793"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"美国"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001941"	"--"	"--"	"--"	"--"	"--"	"7/21"	"--"	"--"	
"205"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z1148"	"--"	"--"	"--"	"国外"	"32.9"	"--"	"--"	"--"	"5/24"	"ICGR"	"--"	"--"	"--"	"--"	"6/9"	"--"	"--"	"--"	"--"	"--"	"118"	"--"	"885-846"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"美国"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001942"	"--"	"--"	"--"	"--"	"--"	"7/24"	"--"	"--"	
"206"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z1149"	"--"	"--"	"--"	"国外"	"31.0"	"--"	"--"	"--"	"5/25"	"ICGR"	"--"	"--"	"--"	"--"	"6/11"	"--"	"--"	"--"	"--"	"--"	"135"	"--"	"885-847"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"美国"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001943"	"--"	"--"	"--"	"--"	"--"	"7/25"	"--"	"--"	
"207"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z1150"	"--"	"--"	"--"	"国外"	"39.5"	"--"	"--"	"--"	"5/27"	"ICGR"	"--"	"--"	"--"	"--"	"6/17"	"--"	"--"	"--"	"--"	"--"	"147"	"--"	"885-914"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"美国"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001944"	"--"	"--"	"--"	"--"	"--"	"7/25"	"--"	"--"	
"208"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z1153"	"--"	"--"	"--"	"国外"	"30.9"	"--"	"--"	"--"	"5/31"	"ICGR"	"--"	"--"	"--"	"--"	"6/18"	"--"	"--"	"--"	"--"	"--"	"99"	"--"	"P862"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"美国"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001945"	"--"	"--"	"--"	"--"	"--"	"7/31"	"--"	"--"	
"209"	"--"	"叙利亚干旱中心"	"Elytrigia Desv.(偃麦草属)"	"Z1399"	"--"	"--"	"1991"	"国外"	"36.0"	"--"	"--"	"--"	"6/1"	"ICGR"	"--"	"--"	"--"	"--"	"6/25"	"--"	"--"	"--"	"--"	"--"	"152"	"--"	"IFG12"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"土耳其"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001946"	"--"	"--"	"--"	"--"	"--"	"7/30"	"--"	"--"	
"210"	"--"	"叙利亚干旱中心"	"Elytrigia Desv.(偃麦草属)"	"Z1402"	"--"	"--"	"1991"	"国外"	"23.8"	"--"	"--"	"--"	"6/1"	"ICGR"	"--"	"--"	"--"	"--"	"6/16"	"--"	"--"	"--"	"--"	"--"	"98"	"--"	"IFG33"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"澳大利亚"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001947"	"--"	"--"	"--"	"--"	"--"	"7/30"	"--"	"--"	
"211"	"--"	"叙利亚干旱中心"	"Elytrigia Desv.(偃麦草属)"	"Z1409"	"--"	"--"	"1991"	"国外"	"25.8"	"--"	"--"	"--"	"6/1"	"ICGR"	"--"	"--"	"--"	"--"	"6/16"	"--"	"--"	"--"	"--"	"--"	"100"	"--"	"IIFG89"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"美国"	"--"	"--"	"野生"	"Elytrigia intermedia (Host.) Nevski(中间偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001948"	"--"	"--"	"--"	"--"	"--"	"7/24"	"--"	"--"	
"212"	"--"	"叙利亚干旱中心"	"Elytrigia Desv.(偃麦草属)"	"Z1400"	"--"	"--"	"1991"	"国外"	"18.0"	"--"	"--"	"--"	"5/5"	"ICGR"	"--"	"--"	"--"	"--"	"5/15"	"--"	"--"	"--"	"--"	"--"	"55"	"--"	"IFG29"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"澳大利亚"	"--"	"--"	"野生"	"Elytrigia italian(意大利偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001949"	"--"	"--"	"--"	"--"	"--"	"6/12"	"--"	"--"	
"213"	"--"	"法国"	"Elytrigia Desv.(偃麦草属)"	"Z1129"	"--"	"--"	"1989"	"国外"	"21.9"	"--"	"--"	"--"	"6/11"	"ICGR"	"--"	"--"	"--"	"--"	"6/30"	"--"	"--"	"--"	"--"	"--"	"82"	"--"	"BRG88-11"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"法国"	"--"	"--"	"野生"	"Elytrigia juncea (Linn.) Nevski(灯芯偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001950"	"--"	"--"	"--"	"--"	"--"	"7/24"	"--"	"--"	
"214"	"--"	"法国"	"Elytrigia Desv.(偃麦草属)"	"Z1130"	"--"	"--"	"1989"	"国外"	"13.5"	"--"	"--"	"--"	"6/25"	"ICGR"	"--"	"--"	"--"	"--"	"7/6"	"--"	"--"	"--"	"--"	"--"	"77"	"--"	"BRG88-20"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"法国"	"--"	"--"	"野生"	"Elytrigia juncea (Linn.) Nevski(灯芯偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001951"	"--"	"--"	"--"	"--"	"--"	"7/31"	"--"	"--"	
"215"	"--"	"法国"	"Elytrigia Desv.(偃麦草属)"	"Z1131"	"--"	"--"	"1989"	"国外"	"36.8"	"--"	"--"	"--"	"6/20"	"ICGR"	"--"	"--"	"--"	"--"	"7/4"	"--"	"--"	"--"	"--"	"--"	"85"	"--"	"BRG88-25"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"法国"	"--"	"--"	"野生"	"Elytrigia juncea (Linn.) Nevski(灯芯偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001952"	"--"	"--"	"--"	"--"	"--"	"7/24"	"--"	"--"	
"216"	"--"	"法国"	"Elytrigia Desv.(偃麦草属)"	"Z1132"	"--"	"--"	"1989"	"国外"	"25.8"	"--"	"--"	"--"	"6/24"	"ICGR"	"--"	"--"	"--"	"--"	"7/6"	"--"	"--"	"--"	"--"	"--"	"92"	"--"	"BRG88-35"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"法国"	"--"	"--"	"野生"	"Elytrigia juncea (Linn.) Nevski(灯芯偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001953"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	
"217"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z818"	"--"	"--"	"1988"	"国外"	"6.1"	"--"	"--"	"--"	"5/28"	"ICGR"	"--"	"--"	"--"	"--"	"6/8"	"--"	"--"	"--"	"--"	"--"	"76"	"--"	"PI380650"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"伊朗"	"--"	"--"	"野生"	"Elytrigia libanotica (Hackel) Holub()"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001954"	"--"	"--"	"--"	"--"	"--"	"7/12"	"--"	"--"	
"218"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z1365"	"--"	"--"	"1990"	"国外"	"12.3"	"--"	"--"	"--"	"5/14"	"ICGR"	"--"	"--"	"--"	"--"	"5/22"	"--"	"--"	"--"	"--"	"--"	"95"	"--"	"PI380650"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"伊朗"	"--"	"--"	"野生"	"Elytrigia libanotica (Hackel) Holub()"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001955"	"--"	"--"	"--"	"--"	"--"	"7/6"	"--"	"--"	
"219"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z1374"	"--"	"--"	"1990"	"国外"	"20.5"	"--"	"--"	"--"	"5/19"	"ICGR"	"--"	"--"	"--"	"--"	"5/30"	"--"	"--"	"--"	"--"	"--"	"90"	"--"	"PI531735"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"苏联"	"--"	"--"	"野生"	"Elytrigia nodosa Nevski(有节偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001956"	"--"	"--"	"--"	"--"	"--"	"7/7"	"--"	"--"	
"220"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"R414"	"--"	"--"	"1985"	"国外"	"36.8"	"--"	"--"	"--"	"6/6"	"ICGR"	"--"	"--"	"--"	"--"	"6/24"	"--"	"--"	"--"	"--"	"--"	"132"	"--"	"SCS510"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"美国"	"--"	"--"	"野生"	"Elytrigia pontica (Podp.) Holub(彭梯卡偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001957"	"--"	"--"	"--"	"--"	"--"	"7/24"	"--"	"--"	
"221"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z1375"	"--"	"--"	"1990"	"国外"	"11.0"	"--"	"--"	"--"	"5/19"	"ICGR"	"--"	"--"	"--"	"--"	"5/29"	"--"	"--"	"--"	"--"	"--"	"50"	"--"	"PI-414667"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"希腊"	"--"	"--"	"野生"	"Elytrigia rechingera (Runemark) Holub()"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001958"	"--"	"--"	"--"	"--"	"--"	"7/24"	"--"	"--"	
"222"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z1376"	"--"	"--"	"1990"	"国外"	"20.5"	"--"	"--"	"--"	"5/20"	"ICGR"	"--"	"--"	"--"	"--"	"6/13"	"--"	"--"	"--"	"--"	"--"	"70"	"--"	"PI531750"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"阿根廷"	"--"	"--"	"野生"	"Elytrigia scirpea (K. Presl) Holub()"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001959"	"--"	"--"	"--"	"--"	"--"	"7/29"	"--"	"--"	
"223"	"--"	"美国"	"Elytrigia Desv.(偃麦草属)"	"Z1366"	"--"	"--"	"1990"	"国外"	"18.5"	"--"	"--"	"--"	"5/14"	"ICGR"	"--"	"--"	"--"	"--"	"5/18"	"--"	"--"	"--"	"--"	"--"	"65"	"--"	"D-2838"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"美国"	"--"	"--"	"野生"	"Elytrigia spicata (Pursh) D. Dewey(穗状偃麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001960"	"--"	"--"	"--"	"--"	"--"	"6/18"	"--"	"--"	
"224"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1349"	"--"	"--"	"1990"	"国外"	"--"	"--"	"--"	"--"	"5/15"	"ICGR"	"--"	"--"	"--"	"--"	"5/18"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"PI-531763"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"美国"	"--"	"--"	"野生"	"Hordeum brachyantherum (Trin.) Link(支药大麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001966"	"--"	"--"	"--"	"--"	"--"	"6/9"	"--"	"--"	
"225"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1351"	"--"	"--"	"1990"	"国外"	"6.5"	"--"	"--"	"--"	"5/6"	"ICGR"	"--"	"--"	"--"	"--"	"5/16"	"--"	"--"	"--"	"--"	"--"	"76"	"--"	"PI-229448"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"伊朗"	"--"	"--"	"野生"	"Hordeum brevisubulatum-iranicum(伊朗短芒大麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001973"	"--"	"--"	"--"	"--"	"--"	"6/16"	"--"	"--"	
"226"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1350"	"--"	"--"	"1990"	"国外"	"--"	"--"	"--"	"--"	"--"	"ICGR"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"Dushanbe Bot."	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"苏联"	"--"	"--"	"野生"	"Hordeum brevisubulatum-turkestanicu(土耳其短芒大麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001974"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	
"227"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z810"	"--"	"--"	"1988"	"国外"	"--"	"--"	"--"	"--"	"5/20"	"ICGR"	"--"	"--"	"--"	"--"	"5/27"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"G. B. C-77"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"加拿大"	"--"	"--"	"野生"	"Hordeum bulbosum Linn.(球茎大麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001975"	"--"	"--"	"--"	"--"	"--"	"6/28"	"--"	"--"	
"228"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1352"	"--"	"--"	"1990"	"国外"	"8.0"	"--"	"--"	"--"	"5/19"	"ICGR"	"--"	"--"	"--"	"--"	"5/23"	"--"	"--"	"--"	"--"	"--"	"7"	"--"	"PI-531778"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"美国"	"--"	"--"	"野生"	"Hordeum californicum Cavos & Stebb.(加利弗尼亚大麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001976"	"--"	"--"	"--"	"--"	"--"	"7/7"	"--"	"--"	
"229"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1353"	"--"	"--"	"1990"	"国外"	"7.0"	"--"	"--"	"--"	"5/13"	"ICGR"	"--"	"--"	"--"	"--"	"5/18"	"--"	"--"	"--"	"--"	"--"	"62"	"--"	"PI-531780"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"南美"	"--"	"--"	"野生"	"Hordeum capense Thunb.()"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001977"	"--"	"--"	"--"	"--"	"--"	"6/8"	"--"	"--"	
"230"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1354"	"--"	"--"	"1990"	"国外"	"9.0"	"--"	"--"	"--"	"5/16"	"ICGR"	"--"	"--"	"--"	"--"	"5/23"	"--"	"--"	"--"	"--"	"--"	"76"	"--"	"PI-531781"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"阿根廷"	"--"	"--"	"野生"	"Hordeum chilense(智利大麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001978"	"--"	"--"	"--"	"--"	"--"	"6/17"	"--"	"--"	
"231"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1355"	"--"	"--"	"1990"	"国外"	"7.0"	"--"	"--"	"--"	"5/19"	"ICGR"	"--"	"--"	"--"	"--"	"5/25"	"--"	"--"	"--"	"--"	"--"	"55"	"--"	"PI-269648"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"阿根廷"	"--"	"--"	"野生"	"Hordeum comosum K. Presl(顶芒大麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001979"	"--"	"--"	"--"	"--"	"--"	"6/23"	"--"	"--"	
"232"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1356"	"--"	"--"	"1990"	"国外"	"5.5"	"--"	"--"	"--"	"5/15"	"ICGR"	"--"	"--"	"--"	"--"	"5/19"	"--"	"--"	"--"	"--"	"--"	"44"	"--"	"Lasbelar-730"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"阿根廷"	"--"	"--"	"野生"	"Hordeum flexuosum Nees(多折大麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001980"	"--"	"--"	"--"	"--"	"--"	"6/10"	"--"	"--"	
"233"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1357"	"--"	"--"	"1990"	"国外"	"13.5"	"--"	"--"	"--"	"5/22"	"ICGR"	"--"	"--"	"--"	"--"	"5/25"	"--"	"--"	"--"	"--"	"--"	"67"	"--"	"PI-531783"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"阿根廷"	"--"	"--"	"野生"	"Hordeum lechleri (Steud.) Schenk()"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001983"	"--"	"--"	"--"	"--"	"--"	"6/19"	"--"	"--"	
"234"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1358"	"--"	"--"	"1990"	"国外"	"7.5"	"--"	"--"	"--"	"5/16"	"ICGR"	"--"	"--"	"--"	"--"	"5/21"	"--"	"--"	"--"	"--"	"--"	"62"	"--"	"PI-531786"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"阿根廷"	"--"	"--"	"野生"	"Hordeum parodii Covas(帕罗德大麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001984"	"--"	"--"	"--"	"--"	"--"	"6/20"	"--"	"--"	
"235"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1359"	"--"	"--"	"1990"	"国外"	"12.0"	"--"	"--"	"--"	"5/22"	"ICGR"	"--"	"--"	"--"	"--"	"5/27"	"--"	"--"	"--"	"--"	"--"	"80"	"--"	"PI-531787"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"阿根廷"	"--"	"--"	"野生"	"Hordeum procerum Nevski(高大麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001985"	"--"	"--"	"--"	"--"	"--"	"6/22"	"--"	"--"	
"236"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1361"	"--"	"--"	"1990"	"国外"	"6.8"	"--"	"--"	"--"	"5/22"	"ICGR"	"--"	"--"	"--"	"--"	"5/30"	"--"	"--"	"--"	"--"	"--"	"42"	"--"	"PI-531789"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"法国"	"--"	"--"	"野生"	"Hordeum secalinum Schreber(碱大麦草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001990"	"--"	"--"	"--"	"--"	"--"	"6/23"	"--"	"--"	
"237"	"--"	"美国"	"Hordeum Linn.(大麦属)"	"Z1362"	"--"	"--"	"1990"	"国外"	"9.0"	"--"	"--"	"--"	"5/12"	"ICGR"	"--"	"--"	"--"	"--"	"5/18"	"--"	"--"	"--"	"--"	"--"	"81"	"--"	"PI-531791"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"阿根廷"	"--"	"--"	"野生"	"Hordeum stenostachys Gdr."	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM001991"	"--"	"--"	"--"	"--"	"--"	"6/10"	"--"	"--"	
"238"	"--"	"美国"	"Leymus Hochst.(赖草属)"	"Z935"	"--"	"--"	"1988"	"国外"	"--"	"--"	"--"	"--"	"5/10"	"ICGR"	"--"	"--"	"--"	"--"	"5/15"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"PI-314667"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"苏联"	"--"	"--"	"野生"	"Leymus karataviensis (Roshev.) Tzvel.(卡拉塔维赖草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM002001"	"--"	"--"	"--"	"--"	"--"	"6/11"	"--"	"--"	
"239"	"--"	"美国"	"Leymus Hochst.(赖草属)"	"Z936"	"--"	"--"	"1988"	"国外"	"--"	"--"	"--"	"--"	"5/12"	"ICGR"	"--"	"--"	"--"	"--"	"5/21"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"PI-440321"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"苏联"	"--"	"--"	"野生"	"Leymus multicaulis (Kar. et Kir.) Tzvel.(多枝赖草)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"RM002002"	"--"	"--"	"--"	"--"	"--"	"6/28"	"--"	"--"	
